timestamp,quat_x,quat_y,quat_z,quat_w,cart_x,cart_y,cart_z
1719929136151,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136184,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136217,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136251,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136284,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136317,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136350,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136383,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136416,0.02,0.03,0.0,1.0,0.0,0.0,0.0
1719929136449,0.02,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929136482,0.02,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929136515,0.02,0.03,0.0,1.0,0.0,0.0,-0.0
1719929136549,0.02,0.03,0.0,1.0,0.0,0.0,-0.0
1719929136582,0.02,0.03,0.0,1.0,0.0,0.0,-0.0
1719929136615,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929136648,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929136681,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929136714,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929136747,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929136780,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929136813,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929136847,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929136880,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929136913,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929136946,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929136979,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929137012,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929137045,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929137078,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929137112,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929137145,0.01,0.03,0.01,1.0,0.0,0.0,-0.0
1719929137178,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929137211,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929137245,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929137278,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929137311,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929137345,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929137378,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929137411,0.01,0.03,0.0,1.0,0.0,0.0,-0.0
1719929137445,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137478,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137511,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137545,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137578,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137611,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137645,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137678,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137711,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137745,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137778,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137811,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137845,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137878,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137911,0.01,0.03,0.0,1.0,0.0,-0.0,-0.0
1719929137945,0.01,0.03,0.01,1.0,0.0,-0.0,-0.0
1719929137978,0.01,0.03,0.01,1.0,0.0,-0.0,-0.0
1719929138011,0.01,0.03,0.01,1.0,0.0,-0.0,-0.0
1719929138045,0.01,0.03,0.01,1.0,0.0,-0.0,-0.0
1719929138078,0.01,0.03,0.01,1.0,0.0,-0.0,-0.0
